Accenture India|accenture.com
Fidelity National Financial India|fnf.com
Finzoom|finzoom.com
Flatworld Solutions|flatworldsolutions.com
Google India|google.com
Goldman Sachs India|goldmansachs.com
Groww|groww.in
Gupshup|gupshup.io
GlobalLogic|globallogic.com
Genpact|genpact.com
GE India|ge.com
Games24x7|games24x7.com
Gainsight India|gainsight.com
Gartner India|gartner.com
GEP Worldwide|gep.com
GlobalFoundries India|gf.com
Godrej|godrejcp.com
GoKwik|gokwik.co
GoodRx India|goodrx.com
Grab India|grab.com
Grofers|blinkit.com
Guidewire India|guidewire.com
Gray Matrix|graymatrix.com
GreyOrange|greyorange.com
Gridlines|gridlines.io
Grid Dynamics India|griddynamics.com
GoDaddy India|godaddy.com
Girnar Software|girnarsoft.com
GlobalStep|globalstep.com
Glance|glance.com
Gigforce|gigforce.in
GAVS Technologies|gavstech.com
Gemini Solutions|geminisolutions.com
HCLTech|hcltech.com
HDFC Bank|hdfcbank.com
Hexaware|hexaware.com
Honeywell India|honeywell.com
HSBC India|hsbc.com
Happiest Minds|happiestminds.com
Harness India|harness.io
Healthifyme|healthifyme.com
Hero MotoCorp|heromotocorp.com
Hevo Data|hevodata.com
Hike|hike.in
Hitachi Vantara India|hitachivantara.com
Housing.com|housing.com
HighRadius|highradius.com
Hinduja Global Solutions|teamhgs.com
HERE Technologies India|here.com
Hilti India|hilti.com
Hopscotch|hopscotch.in
HotStar|hotstar.com
HP India|hp.com
HPE India|hpe.com
Hubilo|hubilo.com
HubSpot India|hubspot.com
Hyland India|hyland.com
Hyperface|hyperface.co
Halma India|halma.com
Haptik|haptik.ai
Head Digital Works|headdigital.com
HealthPlix|healthplix.com
Hero Vired|herovired.com
Hostbooks|hostbooks.com
Infosys|infosys.com
Intel India|intel.com
IBM India|ibm.com
ICICI Bank|icicibank.com
IndiaMART|indiamart.com
Innovaccer|innovaccer.com
Intuit India|intuit.com
Infibeam|infibeam.com
Infra.Market|infra.market
ION Group India|iongroup.com
Indegene|indegene.com
Indiabulls|indiabulls.com
Ineuron|ineuron.ai
Infinite Computer Solutions|infinite.com
Informatica India|informatica.com
Ingram Micro India|ingrammicro.com
InMobi|inmobi.com
Innovapptive|innovapptive.com
Instamojo|instamojo.com
Intellect Design Arena|intellectdesign.com
Interakt|interakt.shop
Intugine|intugine.com
Invesco India|invesco.com
Iris Software|irissoftware.com
Ivy Comptech|ivycomptech.com
Icertis|icertis.com
IDfy|idfy.com
Impelsys|impelsys.com
InCred|incred.com
Indium Software|indiumsoftware.com
Infilect|infilect.com
Infocusp|infocusp.com
Ionic Health|ionichealth.in
IQVIA India|iqvia.com
JPMorgan Chase India|jpmorganchase.com
Jio|jio.com
Jio Platforms|jioplatforms.com
Juspay|juspay.in
Jubilant FoodWorks|jubilantfoodworks.com
Jumbotail|jumbotail.com
Justdial|justdial.com
John Deere India|deere.com
Johnson Controls India|johnsoncontrols.com
Jaro Education|jaroeducation.com
JSW Group|jsw.in
Jar|myjar.app
Jify|jify.co
JoulesToWatts|joulestowatts.com
Jumio India|jumio.com
Jupiter Money|jupiter.money
Josh Technology Group|joshtechnologygroup.com
Jade Global|jadeglobal.com
Kotak Mahindra Bank|kotak.com
KPIT Technologies|kpit.com
KPMG India|kpmg.com
Khatabook|khatabook.com
Kissflow|kissflow.com
Kaleyra|kaleyra.com
Kellton Tech|kelltontech.com
Keka|keka.com
Kenvue India|kenvue.com
Keysight India|keysight.com
Kimberly-Clark India|kimberly-clark.com
Kissht|kissht.com
Knowledge Lens|knowledgelens.com
Kognitos|kognitos.com
Krish Compusoft|kcsitglobal.com
Kuliza|kuliza.com
KredX|kredx.com
Karza Technologies|karza.in
Kalpataru|kalpataruprojects.com
Kanerika|kanerika.com
Karbon Card|karboncard.com
KloudPortal|kloudportal.com
Larsen & Toubro Infotech|ltimindtree.com
LTIMindtree|ltimindtree.com
Lenskart|lenskart.com
Licious|licious.in
LinkedIn India|linkedin.com
Lowe's India|lowes.com
Lucid Motors India|lucidmotors.com
Leadsquared|leadsquared.com
Lendingkart|lendingkart.com
Legato Health|legatohealthtech.com
Lentra|lentra.ai
Level AI|thelevel.ai
Liminal|lmnl.app
Livspace|livspace.com
LogiNext|loginextsolutions.com
Locus|locus.sh
Lumen India|lumen.com
Luxoft India|luxoft.com
LeadIQ India|leadiq.com
Leap Finance|leapfinance.com
Legalo|legalo.in
Lightning Job|lightningjob.com
Linarc|linarc.io
Litmus7|litmus7.com
Lucideus|safe.security
Microsoft India|microsoft.com
Mindtree|ltimindtree.com
Mphasis|mphasis.com
Meesho|meesho.com
MakeMyTrip|makemytrip.com
Mastercard India|mastercard.com
Maersk India|maersk.com
Mahindra|mahindra.com
Marriott India|marriott.com
McKinsey India|mckinsey.com
MediaTek India|mediatek.com
Medibuddy|medibuddy.in
MedPlus|medplusmart.com
Mercedes-Benz R&D India|mbrdi.co.in
Micron India|micron.com
Milaap|milaap.org
MindGate Solutions|mindgate.solutions
MobiKwik|mobikwik.com
Moglix|moglix.com
Mondelez India|mondelezinternational.com
MoneyTap|moneytap.com
Morgan Stanley India|morganstanley.com
Moveworks India|moveworks.com
Mr. Cooper India|mrcooper.com
MSCI India|msci.com
Multiplier|usemultiplier.com
MyGate|mygate.com
Myntra|myntra.com
Mahindra Comviva|mahindracomviva.com
Manhattan Associates India|manh.com
MathWorks India|mathworks.com
Maveric Systems|maveric-systems.com
Medi Assist|mediassist.in
Mentor Graphics India|siemens.com
Merilytics|merilytics.com
Metacube|metacube.com
Miko|miko.ai
Mitsogo|mitsogo.com
Mobileum|mobileum.com
Moody's India|moodys.com
MoveInSync|moveinsync.com
Nagarro|nagarro.com
NatWest India|natwestgroup.com
Nucleus Software|nucleussoftware.com
Netcore Cloud|netcorecloud.com
Netradyne|netradyne.com
NIIT Technologies|coforge.com
Nokia India|nokia.com
Novo Nordisk India|novonordisk.com
Nuance India|nuance.com
Nvidia India|nvidia.com
Nykaa|nykaa.com
NPCI|npci.org.in
Narvar India|narvar.com
NCR Voyix India|ncrvoyix.com
NeoGrowth|neogrowth.in
NetApp India|netapp.com
Netskope India|netskope.com
NextBillion.ai|nextbillion.ai
Nference|nference.com
Ninjacart|ninjacart.in
Nissan Digital India|nissan.in
Niyo|goniyo.com
NoBroker|nobroker.in
Nomura India|nomura.com
Notion India|notion.so
Nuvento|nuvento.com
Nuvei India|nuvei.com
Navi|navi.com
Neeyamo|neeyamo.com
NeoSOFT|neosofttech.com
Netomi|netomi.com
Newgen Software|newgensoft.com
NewRelic India|newrelic.com
Oracle India|oracle.com
Ola|olacabs.com
Ola Electric|olaelectric.com
OYO|oyorooms.com
Optum India|optum.com
Oxyzo|oxyzo.in
Observe.AI|observe.ai
Olam India|olamgroup.com
Omnipresent|omnipresent.com
OneCard|getonecard.app
Onsurity|onsurity.com
OpenText India|opentext.com
Optiver India|optiver.com
Orange Business India|orange-business.com
Orion Innovation|orioninc.com
Otis India|otis.com
Ozonetel|ozonetel.com
Odessa India|odessainc.com
OfBusiness|ofbusiness.com
Okta India|okta.com
Olyv|olyv.co.in
OneAssist|oneassist.in
Open Financial|open.money
Opcito Technologies|opcito.com
Persistent Systems|persistent.com
Paytm|paytm.com
PhonePe|phonepe.com
PayU India|payu.in
Pine Labs|pinelabs.com
Practo|practo.com
PwC India|pwc.com
Publicis Sapient India|publicissapient.com
Philips India|philips.com
Physics Wallah|pw.live
PayPal India|paypal.com
Palo Alto Networks India|paloaltonetworks.com
Pega India|pega.com
PepsiCo India|pepsico.com
Perfios|perfios.com
Pharmeasy|pharmeasy.in
Piramal|piramal.com
Pixis|pixis.ai
Plivo|plivo.com
Porter|porter.in
Postman|postman.com
PowerSchool India|powerschool.com
Prescient|prescienthq.com
Prodapt|prodapt.com
Proximity Works|proximity.tech
Purplle|purplle.com
Pubmatic India|pubmatic.com
Progress Software India|progress.com
Providence India|providence.org
Publicis Groupe India|publicisgroupe.com
Pratiti Technologies|pratititech.com
Precisely India|precisely.com
Prismforce|prismforce.com
Provakil|provakil.com
Qualcomm India|qualcomm.com
Quest Global|quest-global.com
QuickHeal|quickheal.com
Quantiphi|quantiphi.com
Qure.ai|qure.ai
Quantum Leap|quantumleap.in
Quinbay|quinbay.com
QburstTechnologies|qburst.com
Quovantis|quovantis.com
QualiZeal|qualizeal.com
Quantela|quantela.com
Quadrant Resource|quadrantresource.com
Reliance Jio|jio.com
Razorpay|razorpay.com
Rapido|rapido.bike
Rakuten India|rakuten.com
Redbus|redbus.in
Rivigo|rivigo.com
Robert Bosch India|bosch.in
Rockwell Automation India|rockwellautomation.com
Rupeek|rupeek.com
RBL Bank|rblbank.com
Rebel Foods|rebelfoods.com
Recko|recko.io
Red Hat India|redhat.com
Reltio India|reltio.com
Renew Power|renewpower.in
Rentomojo|rentomojo.com
Republic Media|republicworld.com
Revolut India|revolut.com
Ripplehire|ripplehire.com
Rocketlane|rocketlane.com
Roposo|roposo.com
Roambee|roambee.com
Routematic|routematic.com
Rubrik India|rubrik.com
Rupifi|rupifi.com
Ripik.ai|ripik.ai
Rakuten Symphony India|rakuten.com
Ramco Systems|ramco.com
RateGain|rategain.com
Reveal Health|revealhealthtech.com
Robosoft Technologies|robosoftin.com
Tata Consultancy Services|tcs.com
Tech Mahindra|techmahindra.com
Tata Elxsi|tataelxsi.com
Thoughtworks India|thoughtworks.com
Tiger Analytics|tigeranalytics.com
Trilogy India|trilogy.com
Twilio India|twilio.com
Target India|target.com
Texas Instruments India|ti.com
ThoughtSpot India|thoughtspot.com
Toast India|toasttab.com
Tekion|tekion.com
Telstra India|telstra.com
Tesco Bengaluru|tesco.com
Thomson Reuters India|thomsonreuters.com
Tide India|tide.co
Titan Company|titan.co.in
TransUnion India|transunion.com
Trellix India|trellix.com
Trendyol India|trendyol.com
TresVista|tresvista.com
Turing|turing.com
Tata Digital|tatadigital.com
Tata Technologies|tatatechnologies.com
Tata 1mg|1mg.com
TaskUs India|taskus.com
Teleperformance India|teleperformance.com
Temenos India|temenos.com
Tessell|tessell.com
ThoughtWin|thoughtwin.com
Threedots|threedots.co
Tracxn|tracxn.com
Trantor|trantorinc.com
Trukker|trukker.com
Turtlemint|turtlemint.com
Uber India|uber.com
UST Global|ust.com
UnitedHealth Group India|unitedhealthgroup.com
Udaan|udaan.com
Unacademy|unacademy.com
Upstox|upstox.com
Urban Company|urbancompany.com
UiPath India|uipath.com
Ubisoft India|ubisoft.com
Ugam Solutions|ugamsolutions.com
Ula|ula.app
Unbxd|unbxd.com
Uniphore|uniphore.com
Unisys India|unisys.com
UpGrad|upgrad.com
Urbanclap|urbancompany.com
Utthunga|utthunga.com
United Airlines India|united.com
Ushur|ushur.com
Uplers|uplers.com
Vodafone Idea|myvi.in
Virtusa|virtusa.com
VMware India|vmware.com
Visa India|visa.com
Volvo India|volvo.com
Vedantu|vedantu.com
Vymo|vymo.com
Vahan|vahan.co
Valuelabs|valuelabs.com
Vanguard India|vanguard.com
Varian India|varian.com
Veeva India|veeva.com
Verizon India|verizon.com
Vertafore India|vertafore.com
Vertex Inc India|vertexinc.com
Vialto Partners India|vialtopartners.com
Vinculum|vinculumgroup.com
Visteon India|visteon.com
Vodafone Intelligent Solutions|vodafone.com
Vogo|vogo.in
Voltas|voltas.com
Vuram|vuram.com
Vahak|vahak.in
Vegrow|vegrow.in
Velotio Technologies|velotio.com
Verse Innovation|verse.in
Vertoz|vertoz.com
Vidyalai|vidyalai.com
Vinsys|vinsys.com
VDoIT|vdoit.in
VeriPark India|veripark.com
Zoho|zoho.com
Zomato|zomato.com
Zepto|zeptonow.com
Zeta|zeta.tech
Zscaler India|zscaler.com
Zebra Technologies India|zebra.com
Zensar Technologies|zensar.com
ZoomInfo India|zoominfo.com
Zolo|zolostays.com
Zetwerk|zetwerk.com
Zluri|zluri.com
Zopper|zopper.com
Zwayam|zwayam.com
Zuci Systems|zucisystems.com
Zignuts Technolab|zignuts.com
Zeliot|zeliot.in
Zenoti|zenoti.com
Zolvit|zolvit.com
ZoomCar|zoomcar.com
Zyoin|zyoin.com
Zycus|zycus.com
Swiggy|swiggy.com
Samsung R&D India|samsung.com
SAP Labs India|sap.com
Salesforce India|salesforce.com
ShareChat|sharechat.com
Sprinklr India|sprinklr.com
Simplilearn|simplilearn.com
Siemens India|siemens.com
Sigmoid|sigmoid.com
Slice|sliceit.com
Smallcase|smallcase.com
SolarWinds India|solarwinds.com
Sonatype India|sonatype.com
Sopra Steria India|soprasteria.com
Spinny|spinny.com
Sprintlaw|sprintlaw.com
Standard Chartered India|sc.com
State Street India|statestreet.com
Sterlite Technologies|stl.tech
Stripe India|stripe.com
Subex|subex.com
Sun Life India|sunlife.com
Suzlon|suzlon.com
Synaptics India|synaptics.com
Synechron|synechron.com
Synopsys India|synopsys.com
Sysco India|sysco.com
Systango|systango.com
Saama Technologies|saama.com
Safexpress|safexpress.com
Sagility|sagilityhealth.com
Sahaj Software|sahaj.ai
Saleshandy|saleshandy.com
Sanas|sanas.ai
Sarvam AI|sarvam.ai
Scaler|scaler.com
Schneider Electric India|se.com
Searce|searce.com
Seclore|seclore.com
Securonix India|securonix.com
Sendbird India|sendbird.com
ServiceNow India|servicenow.com
Setu|setu.co
Shadowfax|shadowfax.in
Shell India|shell.com
Shiprocket|shiprocket.in
Shoppers Stop|shoppersstop.com
Shriram Finance|shriramfinance.in
Signzy|signzy.com
Silicon Labs India|silabs.com
Sinch India|sinch.com
Skit.ai|skit.ai
Skyflow India|skyflow.com
Snapdeal|snapdeal.com
Societe Generale India|societegenerale.com
Sonata Software|sonata-software.com
Springer Nature India|springernature.com
Squadstack|squadstack.com
Stanza Living|stanzaliving.com
Steadfast Nutrition|steadfastnutrition.in
Strategic Ventures|svinfotech.com
Sumo Logic India|sumologic.com
Sun Pharma|sunpharma.com
Supersourcing|supersourcing.com
Svitla India|svitla.com
Symphony AI India|symphonyai.com
Synoptek India|synoptek.com
